FileName,Title,Kanun No,Kanun
4735_sayili_kamu_ihaleleri_sozlesmeleri_kanununun_gecici_5_inci_maddesinin_uygulanmasina_iliskin_esa.docx,Amaç,1,"Bu Esasların amacı, 5/1/2002 tarihli ve 4735 sayılı Kamu İhale Sözleşmeleri Kanununun geçici 5 inci maddesi uyarınca, ek fiyat farkı hesaplanması ve sözleşmelerin devri ile Toplu Konut İdaresi Başkanlığının sözleşmelerinde süre uzatımı ve fiyat farkı verilmesine ilişkin usul ve esasların belirlenmesidir. "
4735_sayili_kamu_ihaleleri_sozlesmeleri_kanununun_gecici_5_inci_maddesinin_uygulanmasina_iliskin_esa.docx,Kapsam,2,"(1) 4/1/2002 tarihli ve 4734 sayılı Kamu İhale Kanununa göre 1/12/2021 tarihinden önce ihalesi yapılan ve 4735 sayılı Kanunun geçici 5 inci maddesinin yürürlüğe girdiği 22/1/2022 tarihi itibarıyla devam eden veya 22/1/2022 tarihinden önce fesih veya tasfiye edilmeksizin kabulü/geçici kabulü yapılan mal ve hizmet alımları ile yapım işlerine ilişkin Türk Lirası üzerinden yapılan sözleşmelerde, 1/7/2021 ile 31/12/2021 tarihleri arasında (bu tarihler dâhil) gerçekleştirilen kısımlar için, ihale dokümanında fiyat farkı hesaplanmasına ilişkin hüküm bulunup bulunmadığına bakılmaksızın verilecek ek fiyat farkı, bu Esaslara göre hesaplanır.(2) 4734 sayılı Kanuna göre 1/12/2021 tarihinden önce ihalesi yapılan ve 22/1/2022 tarihi itibarıyla devam eden mal ve hizmet alımları ile yapım işlerine ilişkin Türk Lirası üzerinden yapılan sözleşmeler bu Esaslara göre devredilebilir.(3) Toplu Konut İdaresi Başkanlığı tarafından 1/12/2021 tarihinden önce 4734 sayılı Kanuna göre ihalesi yapılan (söz konusu Kanunun 3 üncü maddesindeki istisnalar dâhil), 22/1/2022 tarihi itibarıyla devam eden ve Türk Lirası üzerinden imzalanan yapım işi sözleşmelerinde, 1/7/2021 tarihi ile 31/12/2021 tarihleri arasında (bu tarihler dâhil) iş programına göre gerçekleştirilemeyen iş miktarı için süre uzatımı verilmesi ve fiyat farkı hesabı bu Esaslara göre gerçekleştirilir."
4735_sayili_kamu_ihaleleri_sozlesmeleri_kanununun_gecici_5_inci_maddesinin_uygulanmasina_iliskin_esa.docx,Dayanak,3,"(1) Bu Esaslar, 4735 sayılı Kanunun geçici 5 inci maddesine dayanılarak hazırlanmıştır."
4735_sayili_kamu_ihaleleri_sozlesmeleri_kanununun_gecici_5_inci_maddesinin_uygulanmasina_iliskin_esa.docx,Tanımlar,4,"(1) Bu Esasların uygulanmasında;a) Anahtar teslimi götürü bedel: Uygulama projeleri ve bunlara ilişkin mahal listelerine dayalı olarak, işin tamamı için ihale üzerinde bırakılan istekli tarafından teklif edilen ve idarece uygun görülerek sözleşmeye bağlanan yapım işlerinde ödemeye esas toplam bedeli,b) Birim fiyat: Yapım işlerinde, ön veya kesin projelere ve bunlara ilişkin mahal listeleri ile birim fiyat tariflerine dayalı olarak, idarece hazırlanmış cetvelde yer alan her bir iş kalemi için istekli tarafından teklif edilerek idarece uygun görülen ve sözleşmede gösterilen ödemeye esas fiyatı; mal ve hizmet alımlarında, idarece belirlenen her bir iş kalemi için ihale üzerinde bırakılan istekli tarafından teklif edilen ve idarece uygun görülerek sözleşmeye bağlanan ödemeye esas fiyatı,c) Ek fiyat farkı: 2 nci maddenin birinci fıkrasında belirlenen sözleşmeler için bu Esaslara göre hesaplanacak fiyat farkını,ç) Fiyat Farkına İlişkin Esaslar: İlgisine göre 27/6/2013 tarihli ve 2013/5217 sayılı Bakanlar Kurulu Kararı ile yürürlüğe konulan 4734 Sayılı Kamu İhale Kanununa Göre İhale Edilen Yapım İşlerinde Uygulanacak Fiyat Farkına İlişkin Esaslar, 27/6/2013 tarihli ve 2013/5215 sayılı Bakanlar Kurulu Kararı ile yürürlüğe konulan 4734 Sayılı Kamu İhale Kanununa Göre İhale Edilen Hizmet Alımlarında Uygulanacak Fiyat Farkına İlişkin Esaslar veya 27/6/2013 tarihli ve 2013/ 5216 sayılı Bakanlar Kurulu Kararı ile yürürlüğe konulan 4734 Sayılı Kamu İhale Kanununa Göre İhale Edilen Mal Alımlarında Uygulanacak Fiyat Farkına İlişkin Esasları,d) Götürü bedel: Nitelik ve miktarı idarece belirlenen mal veya hizmet için ihale üzerinde bırakılan istekli tarafından teklif edilen ve idarece uygun görülerek sözleşmeye bağlanan ödemeye esas toplam bedeli,e) Gün: Takvim gününü,f) Güncel endeks: Uygulama ayına ait Türkiye İstatistik Kurumu tarafından yayımlanan ilgili endeksi,g) İdare: 4734 sayılı Kanun kapsamındaki kurum ve kuruluşları,ğ) İş grubu: Yapım işlerinde, anahtar teslimi götürü bedel üzerinden sözleşmeye bağlanan işlerde, ara veya kesin ödemelere ilişkin iş kalemleri toplamından oluşan ve işin ilerleme yüzdelerini gösteren ödemeye esas iş kalemlerini; mal ve hizmet alımlarında, götürü bedel üzerinden sözleşmeye bağlanan işlerde, ara veya kesin ödemelere ilişkin iş kalemleri toplamından oluşan ve malın/işin teslim/ilerleme yüzdelerini gösteren ödemeye esas mal miktarı veya iş kalemlerini,h) İş kalemi: Yapım işlerinde, birim fiyat üzerinden sözleşmeye bağlanan işlerde, teknik ve özel yapım şartları belirtilen, birim fiyat tarifi bulunan ve sözleşmesinde bedeli gösterilen veya sonradan yeni birim fiyatı yapılan ödemeye esas iş kalemlerini; mal ve hizmet alımlarında, birim fiyat üzerinden sözleşmeye bağlanan işlerde, teknik ve özel şartları belirtilen, birim fiyat tarifi bulunan ve sözleşmesinde bedeli gösterilen veya sonradan yeni birim fiyatı yapılan ödemeye esas mal veya iş kalemlerini,ı) Satış fiyatı: Akaryakıt ürünleri için, bir önceki yıl gerçekleşen piyasa büyüklüklerine göre en büyük işlem hacmine sahip olduğu Enerji Piyasası Düzenleme Kurumu (EPDK) tarafından belirlenen ilk sekiz akaryakıt dağıtım şirketince, EPDK'ya bildirilen ve EPDK'nın internet sayfasında yayımlanan İstanbul İli, Avrupa yakası için geçerli bayi satış fiyatlarının KDV hariç aritmetik ortalamasını, ilk sekiz dağıtım şirketinin tamamının fiyat bildirmemesi halinde bunlardan fiyat bildirenlerin fiyatlarının KDV hariç aritmetik ortalamasını,i) Sözleşme: Anahtar teslimi götürü bedel, götürü bedel, birim fiyat veya karma teklif almak suretiyle Türk Lirası üzerinden idare ile yüklenici arasında imzalanan yazılı anlaşmayı ya da çerçeve anlaşmaya dayalı olarak idare ile yüklenici arasında imzalanan münferit sözleşmeyi,j) Sözleşme fiyatı: Birim fiyatlı işlerde uygulama ayında gerçekleşen iş kalemleri veya varsa ihzarat miktarlarının sözleşme birim fiyatlarıyla çarpılması sonucu bulunan tutarı, anahtar teslimi götürü bedel veya götürü bedel işlerde ise uygulama ayında gerçekleşen ilerleme yüzdesiyle sözleşme bedelinin çarpılması sonucu bulunan tutarı, k) Temel endeks: 1/7/2021 tarihinden önce ihale edilen işlerde 2021 yılı Haziran ayına ait olarak Türkiye İstatistik Kurumu tarafından yayımlanan ilgili endeksi, 1/7/2021 ile 30/11/2021 tarihleri arasında (bu tarihler dâhil) ihalesi yapılan işlerde ihale tarihinin (son teklif verme tarihinin) içinde bulunduğu aya ait olarak Türkiye İstatistik Kurumu tarafından yayımlanan ilgili endeksi,l) Uygulama ayı: İşlerin gerçekleştirildiği veya malın teslim edildiği ayı,m) Yıl: Takvim yılını,ifade eder. (2) Bu Esaslarda tanım bulunmayan hallerde Fiyat Farkına İlişkin Esaslarda yer alan tanımlar geçerlidir."
4735_sayili_kamu_ihaleleri_sozlesmeleri_kanununun_gecici_5_inci_maddesinin_uygulanmasina_iliskin_esa.docx,Yapım işlerinde ek fiyat farkı hesabı,5,"Yapım işlerinde, ek fiyat farkının hesaplanmasında;İhale dokümanında fiyat farkı hesaplanmayacağı düzenlenen sözleşmelerde:Pn=  olmak üzere, Fe = An  x E x ( Pn - 1 ) formülü, İhale dokümanında fiyat farkı hesabında kullanılacak girdilerin ağırlık oranlarına ilişkin temsil katsayıları ile endeksler belirlenmeksizin Türkiye İstatistik Kurumu tarafından yayımlanan “Yİ-ÜFE Genel” endeksi esas alınarak fiyat farkı hesaplanacağı düzenlenen sözleşmelerde:Pn=  olmak üzere, Fe = An  x E x ( Pn - 1 ) formülü, c) İhale dokümanında fiyat farkı hesabında kullanılacak girdilerin ağırlık oranlarına ilişkin temsil katsayıları ile endeksler belirlenerek Türkiye İstatistik Kurumu tarafından yayımlanan “Yİ-ÜFE” alt endekslerine göre fiyat farkı hesaplanacağı düzenlenen sözleşmelerde, sözleşmede yer alan temsil katsayıları ve endeksler esas alınarak:Pn=   olmak üzere, Fe = An  x E x ( Pn - 1 ) formülü kullanılır. (2) Ek fiyat farkı hesaplanmasına ilişkin formülde yer alan değişkenlerden;a) Fe: Ek fiyat farkı tutarını,b) E: Birinci fıkranın (a) bendindeki sözleşmeler için 0,56; (b) bendindeki sözleşmeler için 0,41; (c) bendindeki sözleşmeler için 0,33 sabit katsayısını,c) An: 1/7/2021 ile 31/12/2021 tarihleri arasında (bu tarihler dâhil) gerçekleştirilen sözleşme kısmı için yapılan ilk geçici hakedişte (n=1) olmak üzere (n) inci hakedişte; birim fiyatlı işlerde uygulama ayında gerçekleşen iş kalemleri ve ihzarat miktarlarının sözleşme birim fiyatlarıyla çarpılması sonucu bulunan tutarı (TL), anahtar teslimi götürü bedel işlerde ise uygulama ayında gerçekleşen ilerleme yüzdesiyle sözleşme bedelinin çarpılması sonucu bulunan tutarı (TL),ç) Pn:  1/7/2021 ile 31/12/2021 tarihleri arasında (bu tarihler dâhil) gerçekleştirilen sözleşme kısmı için yapılan ilk geçici hakedişte (n=1) olmak üzere (n) inci hakedişte, birinci fıkranın (a) ve (b) bentleri kapsamındaki sözleşmeler için Go, Gn sayılarının; (c) bendi kapsamdaki sözleşmeler için fiyat farkı hesabında kullanılan temel endeksler, güncel endeksler ve akaryakıt bayi satış fiyatları ile a, b1, b2, b3,1, b3,2, b4, b5 ve c katsayılarının ilgili formüllere uygulanması sonucu bulunan fiyat farkı katsayısını,d) Go, Gn: 4 üncü maddede tanımlanan temel endeks (o) ve güncel endeks (n)’e ilişkin olarak Türkiye İstatistik Kurumu tarafından aylık yayımlanan yurt içi üretici fiyat endeksi, 2003=100, CPA 2008 kısım, bölüm ve gruplarına göre tarihsel seri tablosunun “Yİ-ÜFE Genel” sütunundaki sayıyı,e) AYo: EPDK tarafından akaryakıt ürünleri için yayımlanan, 1/7/2021 tarihinden önce ihale edilen işlerde 2021 yılı Haziran ayına ait ortalama satış fiyatını, 1/7/2021 ile 30/11/2021 tarihleri arasında (bu tarihler dâhil) ihalesi yapılan işlerde ihale tarihindeki satış fiyatını,f) AYn: EPDK tarafından akaryakıt ürünleri için yayımlanan uygulama ayına ait ortalama satış fiyatını,g) b3,1: Akaryakıtın ağırlık oranını temsil eden sabit katsayıyı (b3,1= k x b3), ğ) b3,2:  Diğer katı veya sıvı yakıtların ağırlık oranını temsil eden sabit katsayıyı [b3,2= (1-k) x b3],h) k: Akaryakıt girdisinin nispi ağırlığını gösteren düzeltme katsayısını (yapım işi sözleşmeleri kapsamında, 14/5/2018 tarihli ve 2018/11818 sayılı Bakanlar Kurulu Kararına ekli listede yer alan akaryakıt ürünleri haricinde petrol ürünleri bulunmasına rağmen ihale dokümanında herhangi bir ayrıma gidilmeksizin tek bir b katsayısının belirlendiği durumlarda idarece tespit edilecek olup, aksi halde 1,00 olarak dikkate alınacaktır. İdarece sözleşme bazında ayrı ayrı düzeltme katsayısı belirlenebileceği gibi, benzer nitelikteki işlerde kullanılmak üzere genel bir katsayı da belirlenebilecektir.),ifade eder. Diğer değişkenler için Fiyat Farkına İlişkin Esasların 5 inci maddesinin ikinci fıkrasında yer alan tanımlar esas alınır. "
4735_sayili_kamu_ihaleleri_sozlesmeleri_kanununun_gecici_5_inci_maddesinin_uygulanmasina_iliskin_esa.docx,Hizmet alımlarında ek fiyat farkı hesabı,6,"(1) Fiyat Farkına İlişkin Esasların kapsamında bulunmayan araştırma ve geliştirme, piyasa araştırması ve anket, tanıtım, toplantı, organizasyon, sergileme, mesleki eğitim, fotoğraf, film, fikri ve güzel sanatlar gibi nitelikleri itibarıyla kısa süreli hizmetler ile sigorta, muhasebe ve 4734 sayılı Kanunun 48 inci maddesinde yer alan danışmanlık hizmetlerinden mali ve hukuki nitelikteki hizmet alımlarında bu Esaslara göre ek fiyat farkı hesaplanmaz.(2) Birinci fıkra kapsamı dışındaki alımlarda ek fiyat farkının hesaplanmasında;İhale dokümanında fiyat farkı hesaplanmayacağı düzenlenen sözleşmelerde:Pn=  olmak üzere, Fe = An  x E x ( Pn - 1 ) formülü, İhale dokümanında fiyat farkı hesabında kullanılacak girdilerin ağırlık oranlarına ilişkin temsil katsayıları ile endeksler belirlenmeksizin Türkiye İstatistik Kurumu tarafından yayımlanan “Yİ-ÜFE Genel” endeksi esas alınarak fiyat farkı hesaplanacağı düzenlenen sözleşmelerde:Pn=  olmak üzere, Fe = An  x E x ( Pn - 1 ) formülü, İhale dokümanında fiyat farkı hesabında kullanılacak girdilerin ağırlık oranlarına ilişkin temsil katsayıları ile endeksler belirlenerek Türkiye İstatistik Kurumu tarafından yayımlanan “Yİ-ÜFE” alt endeksleri esas alınarak fiyat farkı hesaplanacağı düzenlenen sözleşmelerde, sözleşmede yer alan temsil katsayıları ve endeksler esas alınarak:Pn=olmak üzere, Fe = An  x E x ( Pn - 1 ) formülü,ç) İhale dokümanında sadece Fiyat Farkına İlişkin Esasların 6 ncı maddesine göre fiyat farkı hesaplanacağı düzenlenen sözleşmelerde:Pn= olmak üzere,Fe = An  x E x ( Pn - 1 ) formülü kullanılır.(3) Ek fiyat farkı hesaplanmasına ilişkin formülde yer alan;a) Fe: Ek fiyat farkı tutarını,b) E: İkinci fıkranın (a) bendindeki sözleşmeler için 0,56; (b) bendindeki sözleşmeler için 0,41; (c) bendindeki sözleşmeler için 0,33; (ç) bendindeki sözleşmeler için 0,56 sabit katsayısını,c) An: 1/7/2021 ile 31/12/2021 tarihleri arasında (bu tarihler dâhil) gerçekleştirilen sözleşme kısmı için yapılan ilk geçici hakedişte (n=1) olmak üzere (n) inci hakedişte; birim fiyatlı işlerde uygulama ayında gerçekleşen iş kalemlerinin sözleşme fiyatlarıyla çarpılması sonucu bulunan tutarı (TL), götürü bedel işlerde ise uygulama ayında gerçekleşen ilerleme yüzdesiyle sözleşme bedelinin çarpılması sonucu bulunan tutarı (TL),ç) Pn: 1/7/2021 ile 31/12/2021 tarihleri arasında (bu tarihler dâhil) gerçekleştirilen sözleşme kısmı için yapılan ilk geçici hakedişte (n=1) olmak üzere (n) inci hakedişte, ikinci fıkranın (a), (b) ve (ç) bentleri kapsamındaki sözleşmeler için Go, Gn sayıları ile a1 katsayısının; (c) bendi kapsamdaki sözleşmeler için fiyat farkı hesabında kullanılan temel endeksler, güncel endeksler ve akaryakıt bayi satış fiyatları ile a1, a2, b1,1, b1,2, b2 ve c katsayılarının ilgili formüllere uygulanması sonucu bulunan fiyat farkı katsayısını,d) Go, Gn: 4 üncü maddede tanımlanan temel endeks (o) ve güncel endeks (n)’e ilişkin olarak Türkiye İstatistik Kurumu tarafından aylık yayımlanan yurt içi üretici fiyat endeksi, 2003=100, CPA 2008 kısım, bölüm ve gruplarına göre tarihsel seri tablosunun “Yİ-ÜFE Genel” sütunundaki sayıyı,e) a1: Haftalık çalışma saatinin tamamı idarede kullanılan işçiliklerin ağırlık oranını temsil eden, Fiyat Farkına İlişkin Esasların 6 ncı maddesine göre fiyat farkı hesaplanan ve sözleşmesinde belirtilen sabit katsayıyı; sözleşmesinde herhangi bir belirleme yapılmayan işlerde ise haftalık çalışma saatinin tamamı idarede kullanılan işçiliklerin yaklaşık maliyetteki kâr ve genel gider hariç tutarının, kâr ve genel gider hariç yaklaşık maliyet tutarına oranını,f) AYo: EPDK tarafından akaryakıt ürünleri için yayımlanan, 1/7/2021 tarihinden önce ihale edilen işlerde 2021 yılı Haziran ayına ait ortalama satış fiyatını, 1/7/2021 ile 30/11/2021 tarihleri arasında (bu tarihler dahil) ihalesi yapılan işlerde ihale tarihindeki satış fiyatını,g) AYn: EPDK tarafından akaryakıt ürünleri için yayımlanan uygulama ayına ait ortalama satış fiyatını,ğ) b1,1: Akaryakıtın ağırlık oranını temsil eden sabit katsayıyı (b1,1= k x b1), h) b1,2:  Diğer katı veya sıvı yakıtların ağırlık oranını temsil eden sabit katsayıyı [b1,2= (1-k) x b1],ı) k: Akaryakıt girdisinin nispi ağırlığını gösteren düzeltme katsayısını (hizmet alımı sözleşmeleri kapsamında, 14/5/2018 tarihli ve 2018/11818 sayılı Bakanlar Kurulu Kararına ekli listede yer alan akaryakıt ürünleri haricinde petrol ürünleri bulunmasına rağmen ihale dokümanında herhangi bir ayrıma gidilmeksizin tek bir b katsayısının belirlendiği durumlarda idarece tespit edilecek olup, aksi halde 1,00 olarak dikkate alınacaktır. İdarece sözleşme bazında ayrı ayrı düzeltme katsayısı belirlenebileceği gibi, benzer nitelikteki işlerde kullanılmak üzere genel bir katsayı da belirlenebilecektir.),ifade eder. Diğer değişkenler için Fiyat Farkına İlişkin Esasların 5 inci maddesinin ikinci fıkrasında yer alan tanımlar esas alınır. "
4735_sayili_kamu_ihaleleri_sozlesmeleri_kanununun_gecici_5_inci_maddesinin_uygulanmasina_iliskin_esa.docx,Mal alımlarında ek fiyat farkı hesabı,7,"(1) Fiyat Farkına İlişkin Esasların kapsamında bulunup bulunmadığına ve ihale dokümanında fiyat farkı hesaplanması öngörülüp öngörülmediğine bakılmaksızın mal alımlarında ek fiyat farkı bu Esaslara göre hesaplanır. Ancak; İhale tarihi (son teklif verme tarihi) ile teslim tarihi arasındaki süre 60 takvim günü ve altında olan mal alımlarında (kısmi teslim yapılan mal alımlarında bu sürede teslim edilen kısımlar için),İhale dokümanında fiyat farkı hesaplanacağı düzenlenen elektrik, ilaç, petrol ürünleri ve sıvılaştırılmış petrol gazı ürünleri alımlarında,ek fiyat farkı hesaplanmaz.(2) Ek fiyat farkının hesaplanmasında;İhale dokümanında fiyat farkı hesaplanmayacağı düzenlenen sözleşmelerde:Fe = (M x B) x E x [(Gn/G0) -1] formülü,İhale dokümanında fiyat farkı hesaplanacağı düzenlenen sözleşmelerde,Fe = (M x B) x E x [(A2/A1) -1] formülü kullanılır.(3) Ek fiyat farkı hesaplanmasına ilişkin formülde yer alan;a) Fe: Ek fiyat farkı tutarını,b) E: İkinci fıkranın (a) bendindeki sözleşmeler için 0,56; (b) bendindeki sözleşmeler için 0,33 sabit katsayısını,c) M: 1/7/2021 ile 31/12/2021 tarihleri arasında (bu tarihler dâhil) gerçekleştirilen sözleşme kısmı için; birim fiyat sözleşmelerde idareye teslim edilen mal kalemi miktarını, götürü bedel sözleşmelerde ise toplam teslim yüzdesini,ç) B: Sözleşme fiyatını,d) Go, Gn: 4 üncü maddede tanımlanan temel endeks (o) ve güncel endeks (n)’e ilişkin olarak Türkiye İstatistik Kurumu tarafından aylık yayımlanan yurt içi üretici fiyat endeksi, 2003=100, CPA 2008 kısım, bölüm ve gruplarına göre tarihsel seri tablosunun “Yİ-ÜFE Genel” sütunundaki sayıyı,ifade eder. Diğer değişkenler için Fiyat Farkına İlişkin Esasların 5 inci maddesinin ikinci fıkrasında yer alan tanımlar esas alınır. (4) Yapım işlerinde kullanılmak üzere ihalesi ayrıca yapılan ve sözleşmeye konu malın üretimine sözleşmenin imzalandığı tarihten sonra idarece verilecek yazılı talimat üzerine başlanacağına dair ihale dokümanında açık hüküm bulunan mal alımlarında, idarenin yazılı talimatı 1/7/2021-31/12/2021 tarihleri arasında olan (bu tarihler dâhil) ve 31/12/2021 tarihinden sonra en geç 30/6/2022 tarihine kadar (bu tarih dâhil) teslim edilen kısımlara ilişkin olarak, talimat tarihi bu Esasların uygulanması bakımından teslim tarihi olarak kabul edilir."
4735_sayili_kamu_ihaleleri_sozlesmeleri_kanununun_gecici_5_inci_maddesinin_uygulanmasina_iliskin_esa.docx,Ek fiyat farkına ilişkin uygulama esasları,8,"(1) Ek fiyat farkının hesaplanabilmesi için yüklenicinin bu Esasların yürürlüğe girdiği tarihten itibaren 30 gün içerisinde idareye yazılı olarak başvurması zorunludur.(2) Hesaplama sonucunda ek fiyat farkının eksi (-) çıkması durumunda hakedişten kesinti yapılmaz.(3) Bu Esaslar kapsamındaki işlerde, varsa ihale dokümanındaki fiyat farkına ilişkin hükümlerin uygulanmasına devam olunur. Ek fiyat farkı hesaplanması, ihale dokümanındaki fiyat farkına ilişkin hükümlerin uygulanmasını etkilemez.(4) Birim fiyatlı yapım işlerinde ihzar edilen malzeme için, ihzaratın yapıldığı ay uygulama ayı kabul edilerek işlem yapılır.(5) Ek fiyat farkı hesaplamalarında 1/7/2021 ile 31/12/2021 tarihleri arasında (bu tarihler dâhil) sözleşmelerin gerçekleştirilen kısımlarının iş veya teslim programına uygun olması şartı aranmaz.(6) İş veya teslim süresi 1/7/2021 tarihinden önce sona eren ancak bu tarihten sonra gecikme cezası uygulanarak devam eden sözleşmelerde, ek fiyat farkı hesaplanmaz.(7) Yapım işleri ile hizmet alımlarında 4735 sayılı Kanunun 10 uncu maddesinde belirtilen mücbir sebep hallerinin gerçekleşmesi veya sözleşmenin ifasının idareden kaynaklanan nedenlerle gecikmesi nedeniyle yükleniciye süre uzatımı verilmiş olması halinde, iş kalemleri ya da gruplarının iş programına uygun gerçekleştirilip gerçekleştirilmediğine bakılmaksızın 1/7/2021 ile 31/12/2021 tarihleri arasında (bu tarihler dâhil) yapılan imalat ve işlere ek fiyat farkı hesaplanır. Mal alımlarında 4735 sayılı Kanunun 10 uncu maddesinde belirtilen mücbir sebep hallerinin gerçekleşmesi üzerine veya idareden kaynaklanan nedenlerle yükleniciye süre uzatımı verilmiş olması halinde, uzatılan sürede yeni teslim programına uygun teslimat yapılıp yapılmadığına bakılmaksızın 1/7/2021 ile 31/12/2021 tarihleri arasında (bu tarihler dâhil) teslim edilen mallara ek fiyat farkı hesaplanır.(8) 7 nci maddenin dördüncü fıkrası kapsamındaki sözleşmelerde ek fiyat farkı, malın tesliminden önce hesaplanmaz.(9) Avans ödenen yapım ve hizmet işlerinde, hakedişten mahsup edilen avans tutarı, formüldeki (An) tutarından düşüldükten sonra ek fiyat farkı hesaplanır. Avans ödenen mal alımlarında ise, avans tutarı ödeme tutarından düşüldükten sonra kalan miktar için ek fiyat farkı hesaplanır. (10) Bu Esasların uygulanması sonucu ilave olarak ödenecek tutarlar ek fiyat farkı olup, yüklenici ile idare arasında imzalanan sözleşme bedelini değiştirmez.(11) Karma sözleşmelerde, işin anahtar teslimi götürü bedel ve birim fiyatlı bölümleri için ayrı ayrı ek fiyat farkı hesaplanır."
4735_sayili_kamu_ihaleleri_sozlesmeleri_kanununun_gecici_5_inci_maddesinin_uygulanmasina_iliskin_esa.docx,Sözleşmenin devrine ilişkin uygulama esasları,9,"(1) Bu Esaslara göre sözleşmeler, yüklenicinin bu Esasların yürürlüğe girdiği tarihten itibaren (Değişik ibare: 13.05.2022-31834 R.G./1. md.) 120 gün içerisinde idareye yazılı olarak başvuruda bulunması ve idarenin onayı ile devredilebilir. Başvuru üzerine idarece 30 gün içerisinde başvuruya ilişkin karar alınır. İdarenin sözleşmenin devrine onay vermesi halinde, yüklenici tarafından devre ilişkin işlemler onay tarihini takip eden 30 gün içerisinde tamamlanır. İşlemlerin tamamlanmaması halinde başvuru yapılmamış kabul edilir. Yüklenicinin idareye başvuruda bulunması, sözleşmeden kaynaklanan yükümlülüklerini ortadan kaldırmaz.(2) Devredilen sözleşmelerde devir alacaklarda ilk ihaledeki şartlar, devir tarihi itibarıyla aranır. Ancak, yüklenimi ortak girişim tarafından yürütülen sözleşmelerde ortaklar arasında devir veya hisse devirlerinde ilk ihaledeki yeterlik şartları aranmaz. (3) Sözleşme devirlerinde, devirden kaynaklanan kısıtlama ve yaptırımlar uygulanmaz, devredilecek sözleşmelerden damga vergisi alınmaz. Sözleşmeyi devreden yüklenicinin teminatı iade edilir.(4) Sözleşmenin devredilmesi durumunda, ek fiyat farkına ilişkin hakları saklı kalmak üzere, yüklenici devir tarihine kadar gerçekleştirdiği işler ya da imalatlar dışında idareden herhangi bir mali hak talebinde bulunamaz. (5) Sözleşmenin devrine idarece onay verilmesi halinde, devreden yüklenici tarafından idarece uygun görülecek can ve mal güvenliği ile yapı güvenliğine yönelik tedbirlerin alınması şarttır. (6) Ek fiyat farkı hesaplanması için başvurulan sözleşmelerde de bu madde kapsamında sözleşmenin devri için başvuruda bulunulabilir."
4735_sayili_kamu_ihaleleri_sozlesmeleri_kanununun_gecici_5_inci_maddesinin_uygulanmasina_iliskin_esa.docx,Toplu Konut İdaresi Başkanlığının sözleşmelerine ilişkin esaslar,10,"(1) 2 nci maddenin üçüncü fıkrası kapsamındaki sözleşmelerde süre uzatımı verilebilmesi için yüklenicinin bu Esasların yürürlüğe girdiği tarihten itibaren 30 gün içerisinde Toplu Konut İdaresi Başkanlığına yazılı olarak başvurması zorunludur. Toplu Konut İdaresi Başkanlığı tarafından, yüklenicinin yazılı başvurusu hakkında 10 gün içerisinde karar verilir. Yüklenicinin başvuruda bulunması, sözleşmeden kaynaklanan yükümlülüklerini ortadan kaldırmaz.
(2) Başvurunun uygun görülmesi halinde, bu hususun yükleniciye tebliğ tarihinden itibaren 7 gün içinde revize iş programı yüklenici tarafından düzenlenerek Toplu Konut İdaresi Başkanlığının onayına sunulur. Onaylanan revize iş programına göre işe devam edilir ve bu işlerde 31/12/2021 tarihinden sonra gerçekleştirilen iş miktarına ilişkin fiyat farkı hesabı revize iş programı dikkate alınarak ilgili sözleşmeye esas ihalenin ilanı veya duyurusunun yapıldığı tarihte geçerli olan Fiyat Farkına İlişkin Esaslara göre yapılır. 
(3) Uzatılacak süre, 1/7/2021 tarihi ile 31/12/2021 tarihleri arasındaki (bu tarihler dâhil) iş programına göre gerçekleştirilemeyen iş miktarının, bu tarihler arasındaki günlük iş miktarına bölünmesiyle tespit edilir. 
(4) İş bitim tarihi 1/7/2021 tarihinden önce olan ancak bu tarihten sonra cezalı çalışılan işlerde bu Esaslar kapsamında süre uzatımı verilemez.
(5) Toplu Konut İdaresi Başkanlığının 2 nci maddenin birinci fıkrası kapsamındaki sözleşmelerinde 1/7/2021 ile 31/12/2021 tarihleri arasında (bu tarihler dâhil) gerçekleştirilen iş miktarı için bu Esasların diğer hükümleri uygulanır. 
(6) Toplu Konut İdaresi Başkanlığının 2 nci maddenin ikinci fıkrası kapsamındaki sözleşmelerinin devrine ilişkin olarak 9 uncu madde hükümleri uygulanır. "
